year,month,amazon,amur,aral,chang_jiang,columbia,zaire,danube,dnepr,don,huang,indigirka,indus,kolyma,lena,limpopo,mackenzie,mekong,mississippi,murray,dvina,niger,nile,ob,olenek,parana,pechora,senegal,ural,volga,xi,yenisei,yukon
1984,1,87.4346,1.7181,-1.0634,6.2213,-3.0699,91.5104,1.7979,-2.6908,-2.5552,2.7733,0.6345,8.076,0.3937,0.634,60.2349,2.522,60.7367,4.8414,52.0606,2.1532,12.7131,21.9028,-0.4476,0.4456,112.5857,-0.6149,6.9846,-0.9842,-0.0695,20.1711,0.5183,-0.0809
1984,2,87.1871,2.5611,2.2965,7.4163,1.8975,93.8175,3.8479,1.4758,4.0167,2.7906,0.9366,12.482,0.7519,0.584,60.5159,1.8239,62.9104,10.5333,47.1874,4.5684,9.8496,18.7224,1.9704,0.3749,104.2687,6.7489,5.2966,4.6668,2.485,18.7048,1.1188,5.3548
1984,3,87.2474,3.1266,3.9525,14.9477,6.4798,95.4824,10.3247,3.4578,6.3937,6.3645,0.6162,18.6161,1.072,2.0889,58.8375,2.7839,60.659,14.4946,40.2733,5.5294,14.5347,22.4475,3.2965,0.2083,92.4245,3.1154,6.3999,5.6309,4.0912,29.483,2.3181,3.9517
1984,4,80.9921,4.5145,15.3039,26.0275,15.0255,105.4096,33.8097,31.9136,21.6861,18.3638,2.5285,22.9264,5.4748,3.2237,41.1792,5.5407,69.2258,36.1464,32.9585,7.3129,22.7992,25.7883,4.0448,0.5685,70.0735,7.5083,5.5472,12.8014,12.5801,44.6018,2.2518,3.9836
1984,5,78.707,36.2692,38.6438,36.0919,35.831,110.0745,66.5555,77.4942,76.5495,36.9713,1.4886,19.3287,5.5377,12.5516,20.69,16.7263,85.1108,70.4987,21.8045,44.8995,36.5407,35.642,27.676,1.2644,55.5112,11.3021,9.1677,57.196,67.7614,54.8367,14.1745,3.7223
1984,6,81.8415,59.6225,36.3862,54.8631,61.8454,96.3412,85.2664,70.0447,59.9284,55.3774,9.8163,24.6921,27.2902,46.7987,11.9364,42.4367,65.5454,92.9712,18.2844,63.3084,44.4196,36.5944,64.6663,20.8279,45.6154,46.0189,16.6705,55.3737,75.3048,76.2483,58.0281,28.8718
1984,7,94.3254,62.2678,24.1618,68.1094,79.3806,85.3308,86.0053,73.382,52.2681,67.6276,30.4709,8.0324,48.2514,67.0104,17.3294,58.4678,84.3048,97.4241,20.3493,72.1126,49.4225,39.6727,68.4386,66.6199,53.6586,69.459,39.5052,37.0515,82.7634,88.8447,73.7352,36.8783
1984,8,100.2987,56.24,18.5651,65.3751,62.198,81.1964,70.6297,66.4141,47.6888,69.2294,12.5635,36.3541,28.8198,36.4536,14.3576,48.7485,80.4541,84.0961,44.1666,44.4343,57.7868,48.9355,49.8417,21.3623,56.7149,41.7773,47.932,32.989,54.786,78.4462,50.1303,24.6778
1984,9,101.4494,32.3293,12.6708,40.4389,34.2421,82.1899,48.3475,39.6697,27.7282,36.2566,-2.7237,35.0569,1.3457,8.729,18.7604,14.7375,60.3124,60.3903,49.0493,16.6297,53.1835,42.7825,20.7139,0.2481,71.4871,10.8429,45.4019,20.7383,31.1118,55.9816,17.063,1.561
1984,10,104.3172,6.846,6.0166,28.0908,11.5676,83.9074,26.4224,18.0244,12.1681,17.133,-0.9802,21.1963,-0.9641,0.4988,26.7742,3.2949,60.438,33.8644,57.9329,8.014,43.7995,35.8251,3.3638,0.4308,91.9683,2.9231,25.4742,5.3211,9.4218,52.1527,1.5542,0.6769
1984,11,96.5838,1.9499,2.1413,15.5795,0.1789,82.6817,5.3941,1.1908,0.9111,5.4091,0.5582,12.18,0.5107,1.062,54.6754,2.2983,45.3659,14.1865,48.592,2.1534,24.8367,27.7725,0.48,0.1761,109.8555,1.7961,13.8061,0.1903,0.7061,45.3269,1.1006,2.8454
1984,12,98.46,1.3738,-0.8191,7.8138,-2.5338,92.4476,-1.2892,-0.8883,-0.4617,3.4861,0.5693,6.8081,0.3416,0.1834,70.0691,2.292,64.8273,6.9806,39.5355,1.9066,16.6075,25.1354,-1.0852,0.1344,109.4139,0.0615,8.6766,1.1739,0.8845,24.9265,-0.3846,0.8622
1985,1,104.8693,1.5387,0.3338,7.578,1.6901,93.0267,2.7269,-1.5142,-1.0796,2.5676,0.4906,7.5741,0.4454,0.6588,72.4313,1.2294,53.1821,3.1288,32.4588,1.4075,13.1365,20.9881,0.0938,0.4194,105.0623,0.9858,7.0351,0.5433,0.9392,20.3469,0.3387,-0.7378
1985,2,80.1443,2.5022,0.5586,8.0414,1.8034,87.68,3.3715,-0.1895,0.639,2.1679,2.0424,10.6573,0.7121,0.2476,66.2486,1.7554,61.2673,8.8336,26.7035,1.5977,9.6499,17.4339,1.0464,0.6723,93.5352,0.0256,4.8517,0.3429,1.3138,25.5703,0.5344,5.1201
1985,3,93.4611,3.6504,4.3748,9.5765,2.9568,86.4996,8.9075,3.1704,4.5327,4.91,0.9311,13.3378,0.5582,1.5867,62.8609,3.9098,61.8194,18.8345,26.3089,4.56,8.4856,24.318,3.2542,0.5785,85.8626,3.2144,5.7868,5.6786,3.4735,22.8469,2.0762,2.9115
1985,4,87.5664,6.1021,17.4329,30.7608,17.0282,96.7303,37.544,26.2394,19.6107,20.6546,0.4442,17.408,1.8881,2.7079,43.5739,5.0626,69.9173,46.8063,24.6218,6.2389,24.3282,28.6657,4.7539,-0.5547,70.1346,5.7028,5.5065,12.9061,9.7735,46.0723,3.0231,6.7032
1985,5,83.6907,37.0121,37.337,39.035,41.6799,107.133,72.1542,83.1782,85.2303,37.0465,0.7017,23.0318,2.6831,8.0605,26.3607,16.9692,86.4862,77.8572,20.1883,26.963,34.1338,37.8924,24.6338,-0.6241,57.7754,5.8142,7.5337,57.9057,57.4671,63.0842,12.7277,1.5628
1985,6,84.707,56.0928,33.6826,47.8169,64.0948,96.1697,74.9964,75.9394,79.6806,46.0749,8.1508,18.6913,17.2784,46.4464,16.6031,41.5108,72.9918,92.022,16.5826,57.2606,40.0427,39.9165,63.6744,21.316,50.765,39.0985,16.7525,45.6975,68.7113,62.0603,53.3513,22.6898
1985,7,95.6537,66.8822,26.6723,74.8544,72.1481,85.9172,92.4333,79.0899,63.2067,71.9195,40.1574,19.9479,61.11,60.6574,10.9151,58.1816,92.6084,96.1037,21.3937,71.6751,52.8557,44.1363,69.6538,50.8563,55.254,62.5541,41.3146,42.4164,72.3377,80.7725,69.8889,41.0198
1985,8,101.0397,55.5828,23.4948,64.5668,49.4411,80.1651,74.8253,78.4934,48.9216,65.8173,17.7955,43.47,26.1188,38.1174,12.3406,46.2898,76.2774,86.6689,37.5307,53.7148,65.7065,50.6336,52.3529,23.985,59.2229,47.9421,64.5908,31.9136,66.5045,76.4609,47.9967,25.0526
1985,9,103.7601,30.5863,14.9573,38.9375,31.9968,82.6818,50.1278,39.3071,28.3295,33.9694,0.699,41.013,2.1924,8.7824,18.2953,17.7025,52.5368,66.4028,44.7559,19.7885,54.0807,47.6255,23.7159,-0.1775,69.4387,15.6369,48.9592,19.78,32.49,53.3585,15.8009,2.9773
1985,10,99.2861,7.9094,6.2573,28.4349,11.4732,90.3496,20.7256,13.2089,10.5493,16.5488,-1.5818,21.9851,-1.1073,-0.045,32.637,3.1975,63.2971,37.2307,49.5229,6.6053,45.4808,39.1189,3.0992,-0.998,94.7497,-1.2624,24.2095,4.5051,8.1702,58.4219,1.5455,0.2754
1985,11,93.9758,1.4014,0.5987,19.3572,1.1798,90.7908,5.8527,2.0496,0.5228,6.5313,0.125,8.612,-0.4285,0.207,53.7128,1.1622,59.9941,14.889,53.157,3.0365,27.1497,30.9351,0.0389,-0.0786,106.0948,-0.3464,12.1641,1.0567,2.0948,47.8394,0.7209,3.8528
1985,12,95.3425,1.4832,-0.4578,9.1174,1.794,90.8678,1.0917,-2.6741,-0.0402,3.0164,0.5923,6.4101,0.3758,0.2249,62.8919,2.1373,64.0835,2.8899,46.154,1.6897,17.3031,25.9284,0.5078,0.5988,106.2761,1.7934,10.0018,0.3648,-0.6332,34.3699,0.3134,1.021
1986,1,94.8757,2.0115,-2.0528,7.839,-0.6696,89.7623,2.5695,-2.2732,-1.8234,2.4934,0.2671,9.1405,0.2192,0.6493,75.6402,2.5723,62.7433,5.4992,44.6473,1.8724,13.8525,21.0726,-0.2337,0.1315,109.1583,-0.0079,7.9265,0.4132,0.522,26.0505,0.5624,-0.4945
1986,2,81.2854,2.6766,1.7026,8.7327,1.7054,85.791,3.5756,-0.0738,0.9608,2.7882,0.8825,17.8311,0.7408,0.524,59.3066,1.8719,57.6301,7.6783,31.8359,2.909,11.099,18.5519,1.5459,0.2983,89.983,2.5409,4.9004,1.6456,1.5715,23.2506,1.2552,4.4406
1986,3,85.696,3.5261,3.0095,13.9057,6.6681,95.695,10.6717,5.4044,2.2041,6.6757,0.6263,25.5081,-0.0525,2.3388,50.5196,3.0395,61.8112,21.7353,21.8037,4.2627,15.8582,24.8355,2.4527,0.1515,87.5336,3.1896,5.525,4.2753,2.6315,32.1388,2.8945,6.8987
1986,4,98.477,4.8265,16.1337,24.624,17.1496,99.8792,42.3783,31.6425,30.3267,19.3338,1.7948,22.7805,2.8822,2.9318,73.4594,4.3359,55.2006,46.696,19.1698,10.0324,23.1166,29.134,5.532,0.6399,74.1407,5.1697,5.701,17.7268,15.9901,54.2489,2.7767,6.7977
1986,5,82.3788,31.4808,37.3853,47.2999,40.413,110.2308,75.8753,84.1165,72.273,40.2917,-1.1919,23.4132,2.8551,6.9141,22.2976,14.3875,78.5766,76.2504,19.0007,30.1313,37.6139,31.1981,27.417,0.3435,55.6329,6.8587,8.8927,53.4719,56.0565,71.3276,13.8592,3.0806
1986,6,88.7358,62.0299,35.883,52.4668,68.4012,94.3291,80.6261,85.6194,72.3728,45.2474,17.5506,22.661,30.2147,49.1746,12.322,42.6625,70.8285,98.1053,16.0833,69.41,42.0089,29.7077,62.4765,19.4854,48.1963,38.5314,15.6928,55.6848,83.1663,75.463,51.6424,27.5196
1986,7,96.1147,64.068,28.084,72.9339,63.6455,82.1899,86.8099,77.6121,51.6893,75.5233,37.9427,22.5645,52.2446,67.3831,9.8037,55.9291,83.745,104.1388,21.2101,67.0405,46.8479,41.9341,70.491,60.3393,53.032,47.6261,33.0796,39.64,72.9268,85.943,76.9471,38.1079
1986,8,103.5353,55.7973,20.8108,68.5201,56.2318,84.7776,74.1321,70.4283,36.6025,62.0595,17.6542,35.7713,28.7755,39.1249,9.7935,47.6071,75.0452,87.2957,37.4467,49.1938,60.6226,50.4269,45.6981,26.8096,57.8012,39.1443,54.1659,25.1647,56.46,75.8462,48.5891,25.0956
1986,9,105.5563,31.5193,14.0345,45.6005,31.2536,79.7311,47.1158,33.6162,22.717,36.2533,0.5015,26.8631,1.6209,10.5352,12.0046,18.1479,70.3858,65.246,50.2314,12.805,52.0329,49.4174,21.5905,-0.1178,71.9886,7.5731,51.5882,15.9299,27.7916,64.3321,18.4455,3.0848
1986,10,101.7385,7.5623,5.8756,31.8283,16.0761,84.9935,21.8053,14.9642,10.2432,15.2281,0.221,22.2223,-2.1813,0.0951,27.8603,3.3597,62.0352,32.8942,55.7201,4.9084,44.3442,41.0542,2.8131,-1.1628,95.8258,-1.2088,32.9088,4.9923,7.8663,49.1049,1.6565,2.6012
1986,11,94.1489,1.7271,0.5502,15.011,-0.2209,77.8638,3.5194,1.171,-0.4224,5.0218,0.3697,11.1307,-1.0691,0.3311,52.5992,1.2936,49.8502,11.82,50.0229,3.0463,27.5359,31.6484,-0.4636,0.1709,106.8139,-0.8593,13.9126,-0.2281,1.3316,35.3976,0.34,5.1717
1986,12,97.8939,2.0196,-0.0857,10.5876,-0.8186,90.4068,-1.7585,-1.9922,-1.4548,2.8612,0.3741,9.928,0.228,0.4445,67.9177,0.9402,65.3579,3.5578,44.6307,-0.6855,16.7896,24.9276,-0.0722,0.368,104.2482,-0.8412,9.4505,0.7501,-0.1739,40.1813,0.6834,0.4802
1987,1,103.4981,2.2056,-0.3067,8.653,-1.7861,88.6979,2.3298,0.4057,0.0857,2.3266,0.3662,5.5891,0.2476,0.7259,70.5675,1.7617,66.0638,5.2166,40.0642,0.7148,13.2315,20.6882,0.8447,0.3584,111.4591,1.0327,7.0469,0.1825,1.156,30.7248,1.2309,-0.4198
1987,2,100.2012,3.4403,1.0894,11.0545,0.8172,77.0877,3.3323,-0.0718,0.4255,2.8111,0.5648,15.8492,0.2092,0.5396,64.9547,2.2489,59.0811,10.5869,38.5474,2.8607,10.477,18.6708,1.5719,0.3869,91.4718,1.8697,4.7906,2.2376,0.8022,27.4719,1.6798,3.4082
1987,3,93.5219,4.2076,5.7908,14.1914,3.0173,94.0696,8.257,2.5654,5.8537,5.3208,0.6697,27.6828,1.4741,2.2168,46.2287,3.7366,61.0545,19.0141,32.9061,4.9871,16.477,24.1268,3.677,1.0311,93.7822,1.5308,5.7218,5.7194,3.9829,32.3785,2.3881,4.2826
1987,4,77.3251,4.7113,16.1765,25.2958,22.825,101.283,34.4044,16.1696,10.7986,19.146,0.2677,23.1847,1.7407,2.9982,37.7517,5.5888,67.45,47.3926,28.1971,6.2251,19.802,26.9466,4.1743,0.2329,69.9493,7.0796,5.4409,9.5095,7.432,46.1172,2.8982,2.9486
1987,5,83.5397,27.7973,42.286,41.2425,45.7145,105.7894,59.6791,69.7918,73.2983,37.1457,0.5495,29.5857,2.4865,4.1816,17.9062,18.5682,76.8044,82.7306,21.594,34.5187,30.6973,29.631,34.7224,0.7191,53.2732,11.2081,7.825,61.4812,59.6737,70.6118,14.0076,5.1493
1987,6,86.7298,59.0508,37.8352,46.6206,67.0959,94.3961,83.2872,81.8825,84.9697,46.4745,9.9818,25.9162,20.9785,37.0883,11.9863,44.9904,74.126,102.4747,18.7849,68.0897,40.6598,38.5091,63.3296,7.0748,49.6616,43.2929,16.8766,50.4246,87.8341,81.4906,39.4474,27.7058
1987,7,96.7237,58.2719,36.2648,65.9458,70.8503,87.7004,93.7335,90.8803,73.7,70.5489,41.0785,28.95,66.3325,61.0134,9.0695,59.2468,101.2729,99.942,20.5274,60.1932,52.2138,47.245,80.7927,57.961,56.8183,62.0772,38.5926,48.8688,77.5943,81.7644,72.9023,38.4672
1987,8,102.3097,51.2844,28.7157,60.3715,55.9173,85.9184,63.2081,58.9205,51.3467,63.3985,17.5931,34.3263,31.2331,42.9259,12.597,42.4899,73.289,93.2828,35.6034,41.5058,66.125,52.3495,55.8269,35.576,59.7784,43.7587,56.6688,32.6544,56.6521,75.5345,55.6144,30.6637
1987,9,104.9628,33.0472,18.6185,43.5968,34.3483,83.9932,51.3456,37.5322,25.0335,39.8286,-3.1222,32.7057,0.8564,8.1985,19.4829,22.2928,58.652,65.8137,46.7617,14.3875,55.3379,49.2181,20.6922,-0.8628,64.1832,12.7906,42.5723,22.0939,24.7653,54.2119,16.8945,3.0608
1987,10,111.0622,8.8607,6.2782,28.7297,13.3332,89.9805,20.2358,14.911,10.5499,15.6793,0.67,15.8404,-1.2892,-0.4571,28.5582,4.3238,65.6753,34.4372,45.062,6.2143,45.545,40.0816,2.1645,-5.2905,92.359,2.3302,31.7815,6.1375,6.6482,44.5873,0.7589,2.4358
1987,11,98.6626,3.0081,2.096,15.5328,0.4423,86.0499,6.1926,1.3919,0.2276,5.144,0.539,7.7602,0.7432,0.3644,53.0887,2.3647,65.5793,17.5676,43.6118,2.8054,26.5203,31.6559,1.0402,0.6151,102.8605,1.5878,13.2423,0.5463,2.0277,40.5636,0.8234,6.2726
1987,12,96.801,2.1317,0.1766,11.5523,-1.5097,101.0749,0.6289,-1.929,-0.6642,2.4296,0.4162,1.6171,0.1468,0.4988,64.7776,0.5953,64.491,7.1524,46.6799,0.7643,16.8382,25.8874,-0.7691,0.202,110.3415,0.4862,9.8883,2.7923,0.1743,42.9405,0.8861,0.1829
1988,1,104.7637,2.0339,-0.6795,8.857,0.0854,90.3865,2.0905,-2.3772,-1.7048,2.3886,0.4457,7.5514,0.3259,0.6573,76.3784,1.8085,64.8446,3.9803,40.8217,0.947,14.2407,21.7049,0.2144,0.4089,110.5681,1.256,7.9899,2.528,0.4699,27.1037,0.5524,0.0908
1988,2,95.3727,2.9387,0.8846,8.0142,0.017,95.4115,4.5938,-0.8233,-0.3402,4.1316,1.2434,16.758,0.8412,0.3146,84.527,1.981,63.1718,6.8277,32.4155,2.0304,11.1876,20.6747,1.6341,0.8428,91.879,2.3385,5.787,4.619,1.6529,23.5214,1.0186,5.7267
1988,3,94.2986,4.0262,5.2098,10.2026,0.868,92.8071,11.9768,5.224,2.3247,7.267,0.9646,33.0043,0.9885,1.8671,68.8703,3.8472,61.4895,20.8938,37.6112,4.7925,18.3072,21.8153,3.8479,0.2044,93.3228,2.8883,6.1151,5.4769,3.3518,17.3266,2.8887,7.5252
1988,4,92.8422,5.3951,20.525,29.7584,17.8531,105.9093,37.4899,27.7928,20.983,19.3155,0.3463,18.2879,2.5106,3.2112,54.7234,5.4625,72.4602,44.8967,29.3559,6.893,22.3093,26.2894,6.4831,0.9938,69.7612,6.1661,5.6258,13.9794,12.7163,35.0676,3.4816,1.7387
1988,5,80.01,31.0992,40.6166,38.8147,40.4393,109.943,73.6631,80.4646,77.911,40.4644,1.5571,21.146,4.3824,7.982,28.0544,14.0506,72.6234,83.6273,24.2768,31.9101,34.5555,36.0576,29.2269,-1.2598,44.1112,7.8814,7.9187,58.5399,61.8649,65.4971,13.8268,7.4937
1988,6,82.9075,62.0583,38.4172,57.1348,63.142,95.6644,84.4194,76.1285,83.8455,52.7252,14.4711,21.9187,29.9704,43.7946,23.6453,42.8138,68.836,99.6126,20.5327,70.8617,42.7861,34.6496,67.8536,23.4512,45.6512,48.8895,17.4128,58.2993,88.1512,79.7363,43.1819,29.9584
1988,7,96.048,68.5676,31.9264,70.6116,67.1648,84.13,98.6025,96.3895,80.987,63.1931,47.226,39.5919,62.6124,64.9598,14.0417,57.6927,50.3899,94.7031,24.9122,87.9827,55.3734,36.5431,78.7567,60.8956,53.3368,80.4271,38.617,41.2768,87.4536,84.7916,65.4757,37.7419
1988,8,102.783,59.5161,28.9774,56.4731,47.827,80.2228,71.4552,71.0497,54.4465,57.1822,16.787,54.8607,29.1076,41.2342,14.2097,47.3844,77.322,85.2866,43.2945,45.792,55.3125,51.2536,51.7875,27.3978,54.9218,48.3742,62.6486,27.6453,57.1137,55.6892,51.5424,29.5434
1988,9,104.8198,31.8396,18.2173,40.0074,30.0675,77.5202,41.7646,40.1818,29.943,38.7349,-0.5348,51.8262,2.9192,11.6621,17.2,20.7626,78.6215,64.8539,56.6166,11.8146,56.8821,50.5627,24.7264,4.1114,61.9949,9.4271,54.51,20.3806,28.2481,50.4393,19.6727,2.8764
1988,10,104.386,8.3477,6.8809,28.792,13.2359,87.5342,22.3167,14.8874,13.2685,17.5812,-1.1994,19.8802,-1.7379,0.5875,30.8922,4.6988,66.1655,34.7286,46.914,5.6247,43.1257,39.8975,4.5856,-2.3111,77.4945,4.0947,27.4293,6.559,8.1905,64.4418,2.145,0.2494
1988,11,98.9292,2.13,1.1695,21.4051,4.3467,81.2238,2.1378,-0.9762,1.4583,6.1999,0.5638,9.0856,-0.4846,0.7103,52.8202,3.509,64.065,17.0811,41.5108,3.098,26.1478,33.1469,0.1861,0.1008,99.6132,1.272,14.4553,-0.7678,0.9172,51.4725,0.8813,6.8936
1988,12,92.4668,1.9481,-0.788,11.5901,-2.5809,85.7879,2.384,-2.4328,-3.0511,2.7526,1.0293,11.6886,0.8506,0.7267,56.3857,2.2218,65.6306,5.9588,49.7279,0.4525,19.2526,27.2164,0.1494,0.7447,97.0497,-0.8562,11.1749,-0.0049,0.2692,39.2938,0.4245,-1.1298
1989,1,106.1196,1.9621,-1.7329,8.7191,0.0764,93.4083,1.0729,-4.8405,-7.7793,3.387,0.5364,8.7372,-0.9928,-0.1284,64.269,1.6172,58.7071,8.0863,54.6974,-0.039,20.5579,26.9276,-3.9131,-0.3647,105.2489,-2.5521,8.6088,-3.6135,-0.5605,27.7902,-0.3809,-6.7703
1989,2,90.655,3.3454,0.7929,5.1829,-0.1045,73.4494,8.3625,1.1243,-4.2008,3.9185,-0.4791,11.8432,-1.1259,-1.6548,67.4617,1.8068,58.9584,7.4869,33.4609,2.1049,13.8787,23.0106,-0.0731,-1.0786,99.4852,2.0087,6.4047,1.6854,0.0515,20.1922,-0.6019,2.6052
1989,3,102.2855,3.1632,6.722,13.5209,3.5142,68.6871,23.88,13.4617,7.9924,5.4063,1.5504,24.2014,1.0042,-1.3614,59.7928,2.6777,65.2593,15.6177,39.2315,6.3392,17.083,24.731,4.1476,0.6081,101.5324,3.5007,8.3657,5.2138,3.3423,30.6132,0.7061,3.8785
1989,4,87.3303,6.5709,12.7032,23.2725,18.391,104.8853,39.8135,28.7201,26.4477,18.7038,2.0315,21.4542,2.868,3.2775,40.8861,4.639,75.3528,40.9552,35.624,7.1602,23.324,29.71,4.3681,1.07,72.4418,5.7253,5.9629,11.2692,11.7587,49.9898,2.9919,0.4985
1989,5,89.2606,33.905,44.1344,38.0443,42.5712,102.6836,70.0082,79.7478,72.8532,42.9255,3.834,27.219,5.5297,10.4097,23.9227,18.0391,61.8811,73.4988,32.5134,46.329,33.1825,31.031,39.6901,1.5628,63.1483,19.2185,8.2115,59.1866,58.9502,56.6824,21.2152,6.4361
1989,6,86.4913,58.9243,41.4434,49.5018,66.7097,90.6069,81.6168,88.8896,84.5855,44.575,16.8071,31.7685,48.0069,42.6633,20.422,46.8941,52.394,91.8915,25.8647,90.7539,44.491,31.5608,77.3125,11.8428,44.8229,69.3515,20.2716,66.5084,91.7877,75.2744,52.1067,28.0523
1989,7,94.8701,69.7708,29.2206,69.1027,66.4363,84.1549,94.9394,92.1646,74.7479,68.4744,29.7893,36.1426,48.4444,65.2417,14.512,65.6444,100.1025,95.2215,26.5599,71.3748,49.5339,39.011,84.733,33.9462,56.2341,63.137,66.9145,58.4998,85.5695,87.7399,74.5465,37.6887
1989,8,94.9526,68.9518,23.5353,53.2026,53.8861,81.3084,70.6584,68.9206,64.0976,72.824,14.6408,52.6809,36.8655,40.8987,14.6967,51.4888,66.431,85.6188,39.4166,42.9084,65.6937,49.856,51.3096,20.3151,67.299,48.0825,84.0354,32.6187,63.153,84.8009,57.3844,31.9909
